achievement_name,pct_unlocked,category,game_stage,description
David and Golyat,3.1,DLC Combat,DLC Start,Kill Golyat with crossbow bolt to his eye
Weapon "W",14.9,DLC Progression,DLC Mid,Develop a mutation (Blood and Wine)
Rad Steez Bro!,13.2,DLC Misc,DLC Mid,Slide downhill uninterrupted for at least 10 seconds
Playing House,13.2,DLC Side Quest,DLC Late,Use all available options for developing Corvo Bianco
Embodiment of the Five Virtues,12.1,DLC Side Quest,DLC Late,Be given Aerondight by the Lady of the Lake
A Knight to Remember,11.4,DLC Combat,DLC Mid,Obtain flawless victory in all knight tourney competitions
Dressed to Kill,9.5,DLC Equipment,DLC Mid,Unlock bonus for equipping all witcher gear from one School
Turned Every Stone,7.6,DLC Collection,DLC Late,Find all grandmaster diagrams for each witcher school
I Have a Gwent Problem,7.0,DLC Gwent,DLC Late,Collect all cards in the Skellige deck
The Grapes of Wrath Stomped,9.6,DLC Side Quest,DLC Late,Help unite warring vineyards and get wine named after you
Shopaholic,9.5,DLC Misc,DLC Mid,Buy all items at Borsodis' Auction House
Curator of Nightmares,10.9,DLC Side Quest,DLC Mid,Complete Hearts of Stone main story
Return to Sender,3.4,DLC Combat,DLC Late,Kill 3 opponents with their own arrows (Hearts of Stone)
Wild Rose Dethorned,6.7,DLC Side Quest,DLC Late,Destroy all Order of Flaming Rose campsites
When It's Many Against One…,2.6,DLC Combat,DLC Late,Provoke all Iris's Nightmares to fight simultaneously
I Wore Ofieri Before It Was Cool,2.6,DLC Equipment,DLC Late,Collect all Ofieri armor horse gear and one sword
